"id"	"point_nr"	"x"	"y"
"id1"	1	1.0035	0.46187
"id1"	2	0.93228	0.39066
"id1"	3	0.86911	0.32616
"id1"	4	0.77503	0.22404
"id1"	5	0.74949	0.17567
"id1"	6	0.71589	0.12865
"id1"	7	0.69035	0.12999
"id1"	8	0.6675	0.14611
"id1"	9	0.67019	0.2133
"id1"	10	0.69573	0.2657
"id1"	11	0.74277	0.35572
"id1"	12	0.72798	0.42156
"id1"	13	0.64465	0.44843
"id1"	14	0.48336	0.41081
"id1"	15	0.36508	0.37722
"id1"	16	0.33148	0.37184
"id1"	17	0.29116	0.37184
"id1"	18	0.27099	0.38931
"id1"	19	0.27099	0.41887
"id1"	20	0.30863	0.44171
"id1"	21	0.34492	0.45112
"id1"	22	0.46185	0.49277
"id1"	23	0.55997	0.55324
"id1"	24	0.44707	0.57876
"id1"	25	0.31401	0.60564
"id1"	26	0.26965	0.61504
"id1"	27	0.23202	0.62445
"id1"	28	0.21723	0.66207
"id1"	29	0.23336	0.68894
"id1"	30	0.28309	0.6876
"id1"	31	0.32745	0.67551
"id1"	32	0.45917	0.6661
"id1"	33	0.56804	0.66341
"id1"	34	0.50352	0.72791
"id1"	35	0.39331	0.79778
"id1"	36	0.3597	0.81256
"id1"	37	0.32745	0.8354
"id1"	38	0.32745	0.87168
"id1"	39	0.3503	0.8878
"id1"	40	0.39062	0.87571
"id1"	41	0.41884	0.85958
"id1"	42	0.54788	0.79912
"id1"	43	0.63927	0.76419
"id1"	44	0.60164	0.82599
"id1"	45	0.55325	0.87436
"id1"	46	0.51427	0.90527
"id1"	47	0.49142	0.93751
"id1"	48	0.4968	0.9617
"id1"	49	0.51696	0.96842
"id1"	50	0.5546	0.95229
"id1"	51	0.59895	0.92542
"id1"	52	0.65272	0.87302
"id1"	53	0.74008	0.81659
"id1"	54	0.81938	0.79912
"id1"	55	0.91212	0.783
"id1"	56	0.99142	0.75612
"id10"	1	1.0032237	0.44175985
"id10"	2	0.94273685	0.37652999
"id10"	3	0.8893247	0.32084624
"id10"	4	0.79797903	0.2257853
"id10"	5	0.75151444	0.17274705
"id10"	6	0.7217875	0.12908102
"id10"	7	0.68875321	0.13516675
"id10"	8	0.67274993	0.16855456
"id10"	9	0.68456019	0.21390045
"id10"	10	0.7214785	0.27400311
"id10"	11	0.76580136	0.3643443
"id10"	12	0.73620694	0.41039135
"id10"	13	0.65651052	0.43244923
"id10"	14	0.48226732	0.41607836
"id10"	15	0.37035166	0.41107081
"id10"	16	0.3246917	0.40494127
"id10"	17	0.28199408	0.41118037
"id10"	18	0.26301837	0.43220999
"id10"	19	0.26903384	0.4610956
"id10"	20	0.31078893	0.48108652
"id10"	21	0.36745157	0.48426658
"id10"	22	0.46998442	0.50599142
"id10"	23	0.56999888	0.54156442
"id10"	24	0.45625556	0.59179963
"id10"	25	0.32599491	0.64506744
"id10"	26	0.28210836	0.6623793
"id10"	27	0.23843188	0.69209614
"id10"	28	0.23894593	0.72245136
"id10"	29	0.25449742	0.74427273
"id10"	30	0.30816415	0.73370828
"id10"	31	0.35334363	0.71085847
"id10"	32	0.47978253	0.67696668
"id10"	33	0.58026181	0.65870672
"id10"	34	0.50229185	0.70143338
"id10"	35	0.38871199	0.76132146
"id10"	36	0.34889359	0.77441456
"id10"	37	0.30517051	0.80137931
"id10"	38	0.3111159	0.8261265
"id10"	39	0.32531465	0.84934722
"id10"	40	0.37069411	0.83891284
"id10"	41	0.41325156	0.82439691
"id10"	42	0.53398922	0.77956957
"id10"	43	0.63841981	0.75019007
"id10"	44	0.58271518	0.80358204
"id10"	45	0.52547085	0.84733416
"id10"	46	0.48983766	0.86311954
"id10"	47	0.45724732	0.89542208
"id10"	48	0.46043018	0.92020579
"id10"	49	0.47720452	0.9323508
"id10"	50	0.51297788	0.92484224
"id10"	51	0.55953341	0.90196914
"id10"	52	0.63605725	0.85512737
"id10"	53	0.73328343	0.80793503
"id10"	54	0.83398599	0.80346654
"id10"	55	0.93165613	0.782491
"id10"	56	1.0276932	0.74636115
"id11"	1	0.98671342	0.45979438
"id11"	2	0.90653266	0.39145089
"id11"	3	0.85230878	0.33050721
"id11"	4	0.78082222	0.23769786
"id11"	5	0.7481908	0.18664519
"id11"	6	0.72201362	0.1430049
"id11"	7	0.69279299	0.14233146
"id11"	8	0.67400004	0.17165193
"id11"	9	0.6829603	0.22243326
"id11"	10	0.70916036	0.28557691
"id11"	11	0.73496863	0.35427075
"id11"	12	0.71165225	0.42784287
"id11"	13	0.64066311	0.44651161
"id11"	14	0.48067853	0.40318175
"id11"	15	0.38499218	0.3769254
"id11"	16	0.32723547	0.36588115
"id11"	17	0.29773095	0.36937624
"id11"	18	0.28129915	0.38492912
"id11"	19	0.28627494	0.41313852
"id11"	20	0.31422333	0.43183462
"id11"	21	0.37029457	0.44692772
"id11"	22	0.45569587	0.48082482
"id11"	23	0.55687028	0.54786135
"id11"	24	0.44072919	0.5940002
"id11"	25	0.32745998	0.61943003
"id11"	26	0.27646285	0.63115362
"id11"	27	0.2414207	0.65375955
"id11"	28	0.23926801	0.68425467
"id11"	29	0.24929205	0.70028581
"id11"	30	0.29801604	0.70093637
"id11"	31	0.34762047	0.68911447
"id11"	32	0.46198963	0.66793013
"id11"	33	0.57013363	0.6560624
"id11"	34	0.49056042	0.71731724
"id11"	35	0.39473875	0.77184723
"id11"	36	0.3543423	0.79128626
"id11"	37	0.31762501	0.81794177
"id11"	38	0.32408078	0.84486637
"id11"	39	0.3451949	0.86168038
"id11"	40	0.38193507	0.85452822
"id11"	41	0.42984075	0.82726286
"id11"	42	0.52636026	0.78252782
"id11"	43	0.61785144	0.74998281
"id11"	44	0.60068478	0.83513438
"id11"	45	0.55497907	0.89042355
"id11"	46	0.52183157	0.92569784
"id11"	47	0.50977604	0.95827246
"id11"	48	0.51980008	0.97430361
"id11"	49	0.54040194	0.97854684
"id11"	50	0.56534461	0.96080583
"id11"	51	0.6039344	0.927305
"id11"	52	0.65280555	0.86668216
"id11"	53	0.72603313	0.79662297
"id11"	54	0.79219056	0.78735884
"id11"	55	0.8673372	0.76898358
"id11"	56	0.9378244	0.7377448
"id12"	1	1.02410473	0.43877685
"id12"	2	0.94773949	0.36941575
"id12"	3	0.88931205	0.31852099
"id12"	4	0.76768928	0.23183195
"id12"	5	0.7152009	0.19012073
"id12"	6	0.67628942	0.15316656
"id12"	7	0.65046019	0.15581647
"id12"	8	0.63638755	0.18442782
"id12"	9	0.65523242	0.24536895
"id12"	10	0.69998353	0.2975776
"id12"	11	0.76276059	0.36218147
"id12"	12	0.75130523	0.41964649
"id12"	13	0.6659697	0.44571075
"id12"	14	0.4829325	0.409689
"id12"	15	0.3755078	0.38992344
